k_1based,idxU_1based,idxV_1based,file,dx_mm,dz_mm,dir_x,dir_y,dir_z,hit_ratio
1,1,1,view_0001.png,-2.0,-2.0,-0.03993615135550499,-0.998403787612915,-0.03993615135550499,0.08435625
2,2,1,view_0002.png,-1.0,-2.0,-0.01998003013432026,-0.9990014433860779,-0.03996006026864052,0.084925
3,3,1,view_0003.png,0.0,-2.0,0.0,-0.9992009401321411,-0.039968036115169525,0.085325
4,4,1,view_0004.png,1.0,-2.0,0.01998003013432026,-0.9990014433860779,-0.03996006026864052,0.08571875
5,1,2,view_0005.png,-2.0,-1.0,-0.03996006026864052,-0.9990014433860779,-0.01998003013432026,0.08455
6,2,2,view_0006.png,-1.0,-1.0,-0.019992005079984665,-0.9996002316474915,-0.019992005079984665,0.08499375
7,3,2,view_0007.png,0.0,-1.0,0.0,-0.9998000860214233,-0.019996002316474915,0.08549375
8,4,2,view_0008.png,1.0,-1.0,0.019992005079984665,-0.9996002316474915,-0.019992005079984665,0.0860375
9,1,3,view_0009.png,-2.0,0.0,-0.039968036115169525,-0.9992009401321411,0.0,0.0841625
10,2,3,view_0010.png,-1.0,0.0,-0.019996002316474915,-0.9998000860214233,0.0,0.0848125
11,3,3,view_0011.png,0.0,0.0,0.0,-1.0,0.0,0.085375
12,4,3,view_0012.png,1.0,0.0,0.019996002316474915,-0.9998000860214233,0.0,0.0859
13,1,4,view_0013.png,-2.0,1.0,-0.03996006026864052,-0.9990014433860779,0.01998003013432026,0.08499375
14,2,4,view_0014.png,-1.0,1.0,-0.019992005079984665,-0.9996002316474915,0.019992005079984665,0.0855125
15,3,4,view_0015.png,0.0,1.0,0.0,-0.9998000860214233,0.019996002316474915,0.08613125
16,4,4,view_0016.png,1.0,1.0,0.019992005079984665,-0.9996002316474915,0.019992005079984665,0.086775
