u,v,file,dx_mm,dz_mm,eye_x,eye_y,eye_z,center_x,center_y,center_z,hit_ratio,elapsed_s,eta_s
0,0,u00_v00.png,-2.0,-2.0,-2.0,50.0,-2.0,-2.0,-150.0,-2.0,0.04121875,4.488715648651123,67.33073472976685
0,1,u00_v01.png,-2.0,-1.0,-2.0,50.0,-1.0,-2.0,-150.0,-1.0,0.040175,4.52918553352356,31.704298734664917
0,2,u00_v02.png,-2.0,0.0,-2.0,50.0,0.0,-2.0,-150.0,0.0,0.03913125,4.568798303604126,19.798125982284546
0,3,u00_v03.png,-2.0,1.0,-2.0,50.0,1.0,-2.0,-150.0,1.0,0.0392125,4.608166217803955,13.824498653411865
1,0,u01_v00.png,-1.0,-2.0,-1.0,50.0,-2.0,-1.0,-150.0,-2.0,0.05178125,4.653432846069336,10.237552261352539
1,1,u01_v01.png,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-150.0,-1.0,0.05053125,4.700915098190308,7.834858496983847
1,2,u01_v02.png,-1.0,0.0,-1.0,50.0,0.0,-1.0,-150.0,0.0,0.0493875,4.7418248653411865,6.096631969724383
1,3,u01_v03.png,-1.0,1.0,-1.0,50.0,1.0,-1.0,-150.0,1.0,0.0495375,4.784418821334839,4.784418821334839
2,0,u02_v00.png,0.0,-2.0,0.0,50.0,-2.0,0.0,-150.0,-2.0,0.0513375,4.825935125350952,3.7535050974951853
2,1,u02_v01.png,0.0,-1.0,0.0,50.0,-1.0,0.0,-150.0,-1.0,0.05016875,4.8678436279296875,2.920706176757813
2,2,u02_v02.png,0.0,0.0,0.0,50.0,0.0,0.0,-150.0,0.0,0.04905,4.912460803985596,2.2329367290843614
2,3,u02_v03.png,0.0,1.0,0.0,50.0,1.0,0.0,-150.0,1.0,0.04915625,4.95296835899353,1.6509894529978435
3,0,u03_v00.png,1.0,-2.0,1.0,50.0,-2.0,1.0,-150.0,-2.0,0.05115625,4.993679761886597,1.1523876373584454
3,1,u03_v01.png,1.0,-1.0,1.0,50.0,-1.0,1.0,-150.0,-1.0,0.04988125,5.034161567687988,0.7191659382411412
3,2,u03_v02.png,1.0,0.0,1.0,50.0,0.0,1.0,-150.0,0.0,0.0487125,5.0750532150268555,0.3383368810017904
3,3,u03_v03.png,1.0,1.0,1.0,50.0,1.0,1.0,-150.0,1.0,0.04893125,5.115524768829346,0.0
